data_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	date	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age	location_key	location_key_original
bd201f828881	total-region	Americas		Americas		(total)			2020-02-25	36	31				90			90	0.008869933652324661			0.008869933652324661				100	4			4	4.651162790697675			4.651162790697675	42447098	1014663734			255551621c6b	
d8ecca59bb15	total-region	Americas		Americas		(total)			2020-02-26	37	32	1			120			120	0.01182657820309955			0.01182657820309955				100	30			30	33.333333333333336			33.333333333333336	42447098	1014663734			255551621c6b	
5f0f6c0c5b74	total-region	Americas		Americas		(total)			2020-02-28	39	34	3			130			130	0.012812126386691177			0.012812126386691177				100	10			10	8.333333333333334			8.333333333333334	42447098	1014663734			255551621c6b	
ea78fd4f0c36	total-region	Americas		Americas		(total)			2020-02-29	40	35	4			140	2		138	0.013797674570282806	0.00019710963671832582		0.013600564933564482		1.4285714285714286		98.57142857142858	10	2		8	7.6923076923076925			6.153846153846154	42447098	1014663734			255551621c6b	
f8cbe65f535d	total-region	Americas		Americas		(total)			2020-03-01	41	36	5			176	6		170	0.017345648031212673	0.0005913289101549775		0.016754319121057695		3.4090909090909087		96.5909090909091	36	4		32	25.714285714285715	200		23.18840579710145	42447098	1014663734			255551621c6b	
7383ab1675f1	total-region	Americas		Americas		(total)			2020-03-02	42	37	6			208	12		196	0.020499402218705887	0.001182657820309955		0.01931674439839593		5.769230769230769		94.23076923076923	32	6		26	18.181818181818183	100		15.294117647058824	42447098	1014663734			255551621c6b	
ca5bc33e5bbf	total-region	Americas		Americas		(total)			2020-03-03	43	38	7			250	20		230	0.024638704589790728	0.001971096367183258		0.02266760822260747		8		92	42	8		34	20.192307692307693	66.66666666666667		17.346938775510203	42447098	1014663734			255551621c6b	
db623915e859	total-region	Americas		Americas		(total)			2020-03-04	44	39	8			322	24		298	0.03173465151165046	0.00236531564061991		0.029369335871030546		7.453416149068323		92.54658385093167	72	4		68	28.8	20		29.565217391304348	42447098	1014663734			255551621c6b	
7f63138d674c	total-region	Americas		Americas		(total)			2020-03-05	45	40	9			456	24		432	0.04494099717177829	0.00236531564061991		0.04257568153115838		5.263157894736842		94.73684210526315	134			134	41.61490683229814			44.966442953020135	42447098	1014663734			255551621c6b	
bf21bbf3285b	total-region	Americas		Americas		(total)			2020-03-06	46	41	10			622	30		592	0.06130109701939933	0.0029566445507748875		0.05834445246862444		4.823151125401929		95.17684887459808	166	6		160	36.40350877192982	25		37.03703703703704	42447098	1014663734			255551621c6b	
8cf3702d3470	total-region	Americas		Americas		(total)			2020-03-07	47	42	11			856	38		818	0.08436292451544346	0.003745083097648191		0.08061784141779527		4.439252336448598		95.56074766355141	234	8		226	37.62057877813505	26.666666666666668		38.17567567567568	42447098	1014663734			255551621c6b	
c2334ec7d61b	total-region	Americas		Americas		(total)			2020-03-08	48	43	12	1		1094	44		1050	0.10781897128492424	0.004336412007803168		0.10348255927712106		4.021937842778794		95.97806215722122	238	6		232	27.80373831775701	15.789473684210526		28.361858190709047	42447098	1014663734			255551621c6b	
19946d85782a	total-region	Americas		Americas		(total)			2020-03-09	49	44	13	2		1496	52		1444	0.14743800826530773	0.005124850554676472		0.14231315771063124		3.4759358288770055		96.52406417112299	402	8		394	36.74588665447897	18.181818181818183		37.523809523809526	42447098	1014663734			255551621c6b	
2f8515353983	total-region	Americas		Americas		(total)			2020-03-10	50	45	14	3		2036	62		1974	0.2006576101792557	0.006110398738268101		0.19454721144098758		3.045186640471513		96.95481335952849	540	10		530	36.096256684491976	19.23076923076923		36.70360110803324	42447098	1014663734			255551621c6b	
d52dc7bebe1d	total-region	Americas		Americas		(total)			2020-03-11	51	46	15	4		2526	74		2452	0.24894947117524552	0.007293056558578055		0.24165641461666745		2.929532858273951		97.07046714172604	490	12		478	24.06679764243615	19.35483870967742		24.214792299898683	42447098	1014663734			255551621c6b	
a724e57a40d1	total-region	Americas		Americas		(total)			2020-03-12	52	47	16	5		3336	86		3250	0.3287788740461675	0.008475714378888012		0.32030315966727946		2.577937649880096		97.42206235011992	810	12		798	32.066508313539195	16.216216216216218		32.54486133768352	42447098	1014663734			255551621c6b	
e72ac3ca3aac	total-region	Americas		Americas		(total)			2020-03-13	53	48	17	6		4448	100		4348	0.4383718320615566	0.00985548183591629		0.4285163502256404		2.2482014388489207		97.75179856115108	1112	14		1098	33.333333333333336	16.27906976744186		33.784615384615385	42447098	1014663734			255551621c6b	
e633694654a5	total-region	Americas		Americas		(total)			2020-03-14	54	49	18	7		5796	120		5676	0.5712237272097082	0.01182657820309955		0.5593971490066088		2.070393374741201		97.9296066252588	1348	20		1328	30.305755395683452	20		30.542778288868444	42447098	1014663734			255551621c6b	
1bfd51d95ff0	total-region	Americas		Americas		(total)			2020-03-15	55	50	19	8		7200	136		7064	0.7095946921859729	0.013403455296846157		0.6961912368891268		1.8888888888888888		98.11111111111111	1404	16		1388	24.22360248447205	13.333333333333334		24.4538407329105	42447098	1014663734			255551621c6b	
93b08f0b260d	total-region	Americas		Americas		(total)			2020-03-16	56	51	20	9		9014	182		8832	0.8883731326894946	0.01793697694136765		0.8704361557481268		2.019081428888396		97.9809185711116	1814	46		1768	25.194444444444443	33.8235294117647		25.028312570781427	42447098	1014663734			255551621c6b	
047d9ffcfd87	total-region	Americas		Americas		(total)			2020-03-17	57	52	21	10	1	11810	232		11578	1.163932404821714	0.022864717859325794		1.1410676869623881		1.9644369178662149		98.03556308213378	2796	50		2746	31.018415797648103	27.47252747252747		31.091485507246375	42447098	1014663734			255551621c6b	
b2995d3fad1f	total-region	Americas		Americas		(total)			2020-03-18	58	53	22	11	2	16690	314		16376	1.644879918414429	0.030946212964777155		1.6139337054496519		1.8813660874775313		98.11863391252247	4880	82		4798	41.32091447925487	35.3448275862069		41.440663326999484	42447098	1014663734			255551621c6b	
dd4f48a377ce	total-region	Americas		Americas		(total)			2020-03-19	59	54	23	12	3	24826	406		24420	2.4467219205845785	0.04001325625382014		2.406708664330758		1.6353822605333117		98.36461773946668	8136	92		8044	48.747753145596164	29.29936305732484		49.12066438690767	42447098	1014663734			255551621c6b	
7f9402e104bd	total-region	Americas		Americas		(total)			2020-03-20	60	55	24	13	4	35992	530		35462	3.5471850223829917	0.05223405373035635		3.494950968652635		1.472549455434541		98.52745054456545	11166	124		11042	44.977040199790544	30.541871921182267		45.21703521703522	42447098	1014663734			255551621c6b	
8090446cace7	total-region	Americas		Americas		(total)			2020-03-21	61	56	25	14	5	49064	686		48378	4.835493607973969	0.06760860539438576		4.767885002579583		1.398173813794228		98.60182618620577	13072	156		12916	36.319182040453434	29.433962264150942		36.4220856127686	42447098	1014663734			255551621c6b	
2f6b36426094	total-region	Americas		Americas		(total)			2020-03-22	62	57	26	15	6	66122	872		65250	6.516641699544571	0.08593980160919007		6.43070189793538		1.318774386739663		98.68122561326034	17058	186		16872	34.76683515408446	27.113702623906704		34.8753565670346	42447098	1014663734			255551621c6b	
b24798045bae	total-region	Americas		Americas		(total)			2020-03-23	63	58	27	16	7	86998	1092		85906	8.574072087610455	0.1076218616482059		8.46645022596225		1.2552012689946896		98.74479873100532	20876	220		20656	31.571942772450925	25.229357798165136		31.65670498084291	42447098	1014663734			255551621c6b	
b97851a79313	total-region	Americas		Americas		(total)			2020-03-24	64	59	28	17	8	108106	1477		106629	10.654367193535666	0.14556546671648363		10.508801726819183		1.3662516419070172		98.63374835809299	21108	385		20723	24.262626727051195	35.256410256410255		24.122878495099293	42447098	1014663734			255551621c6b	
e7de34878a8c	total-region	Americas		Americas		(total)			2020-03-25	65	60	29	18	9	137291	1990		135301	13.530689567347837	0.19612408853473418		13.3345654788131		1.4494759306873721		98.55052406931263	29185	513		28672	26.996651434702976	34.732566012186865		26.889495353046545	42447098	1014663734			255551621c6b	
712aec187219	total-region	Americas		Americas		(total)			2020-03-26	66	61	30	19	10	171184	2597		168587	16.871008025994943	0.2559468632787461		16.6150611627162		1.5170810356108047		98.4829189643892	33893	607		33286	24.686978753159348	30.502512562814072		24.60144418740438	42447098	1014663734			255551621c6b	
78d9bd2f40d5	total-subregion	North America		North America		(total)			2020-01-21	1					2			2	0.00040070727639234183			0.00040070727639234183				100									23948944	499117465			519f5c10070b	
240d3e9675f3	total-subregion	North America		North America		(total)			2020-01-24	4					4			4	0.0008014145527846837			0.0008014145527846837				100	2			2	100			100	23948944	499117465			519f5c10070b	
46c641688f28	total-subregion	North America		North America		(total)			2020-01-25	5					6			6	0.0012021218291770254			0.0012021218291770254				100	2			2	50			50	23948944	499117465			519f5c10070b	
e7280ff4bad4	total-subregion	North America		North America		(total)			2020-01-26	6	1				10			10	0.002003536381961709			0.002003536381961709				100	4			4	66.66666666666667			66.66666666666667	23948944	499117465			519f5c10070b	
01673ebe515a	total-subregion	North America		North America		(total)			2020-01-30	10	5				12			12	0.002404243658354051			0.002404243658354051				100	2			2	20			20	23948944	499117465			519f5c10070b	
fd2802cf309a	total-subregion	North America		North America		(total)			2020-01-31	11	6				14			14	0.0028049509347463928			0.0028049509347463928				100	2			2	16.666666666666668			16.666666666666668	23948944	499117465			519f5c10070b	
877785b30b26	total-subregion	North America		North America		(total)			2020-02-01	12	7				16			16	0.0032056582111387347			0.0032056582111387347				100	2			2	14.285714285714286			14.285714285714286	23948944	499117465			519f5c10070b	
985e9bf0920d	total-subregion	North America		North America		(total)			2020-02-02	13	8				22			22	0.0044077800403157594			0.0044077800403157594				100	6			6	37.5			37.5	23948944	499117465			519f5c10070b	
3eb6204ef45a	total-subregion	North America		North America		(total)			2020-02-05	16	11				24			24	0.004808487316708102			0.004808487316708102				100	2			2	9.090909090909092			9.090909090909092	23948944	499117465			519f5c10070b	
2c895db6d2fe	total-subregion	North America		North America		(total)			2020-02-10	21	16				26			26	0.005209194593100444			0.005209194593100444				100	2			2	8.333333333333334			8.333333333333334	23948944	499117465			519f5c10070b	
fecee21db5bf	total-subregion	North America		North America		(total)			2020-02-12	23	18				28			28	0.0056099018694927855			0.0056099018694927855				100	2			2	7.6923076923076925			7.6923076923076925	23948944	499117465			519f5c10070b	
b009b2d0f6fc	total-subregion	North America		North America		(total)			2020-02-13	24	19				30			30	0.006010609145885127			0.006010609145885127				100	2			2	7.142857142857143			7.142857142857143	23948944	499117465			519f5c10070b	
b387c6eff524	total-subregion	North America		North America		(total)			2020-02-17	28	23				50			50	0.010017681909808545			0.010017681909808545				100	20			20	66.66666666666667			66.66666666666667	23948944	499117465			519f5c10070b	
b534d93cee6d	total-subregion	North America		North America		(total)			2020-02-20	31	26				54			54	0.01081909646259323			0.01081909646259323				100	4			4	8			8	23948944	499117465			519f5c10070b	
7e21ddb035ee	total-subregion	North America		North America		(total)			2020-02-21	32	27				60			60	0.012021218291770254			0.012021218291770254				100	6			6	11.11111111111111			11.11111111111111	23948944	499117465			519f5c10070b	
c5300e464fd0	total-subregion	North America		North America		(total)			2020-02-24	35	30				86			86	0.017230412884870698			0.017230412884870698				100	26			26	43.333333333333336			43.333333333333336	23948944	499117465			519f5c10070b	
995a50bfbb74	total-subregion	North America		North America		(total)			2020-02-25	36	31				90			90	0.01803182743765538			0.01803182743765538				100	4			4	4.651162790697675			4.651162790697675	23948944	499117465			519f5c10070b	
c6d0d6173f6e	total-subregion	North America		North America		(total)			2020-02-26	37	32	1			120			120	0.024042436583540508			0.024042436583540508				100	30			30	33.333333333333336			33.333333333333336	23948944	499117465			519f5c10070b	
48d811e7bbe8	total-subregion	North America		North America		(total)			2020-02-28	39	34	3			130			130	0.026045972965502217			0.026045972965502217				100	10			10	8.333333333333334			8.333333333333334	23948944	499117465			519f5c10070b	
05f8cdce0f1f	total-subregion	North America		North America		(total)			2020-02-29	40	35	4			140	2		138	0.02804950934746393	0.00040070727639234183		0.027648802071071583		1.4285714285714286		98.57142857142858	10	2		8	7.6923076923076925			6.153846153846154	23948944	499117465			519f5c10070b	
e666f7313ddb	total-subregion	North America		North America		(total)			2020-03-01	41	36	5			176	6		170	0.035262240322526076	0.0012021218291770254		0.034060118493349056		3.4090909090909087		96.5909090909091	36	4		32	25.714285714285715	200		23.18840579710145	23948944	499117465			519f5c10070b	
c3f1a4b22ec0	total-subregion	North America		North America		(total)			2020-03-02	42	37	6			208	12		196	0.04167355674480355	0.002404243658354051		0.0392693130864495		5.769230769230769		94.23076923076923	32	6		26	18.181818181818183	100		15.294117647058824	23948944	499117465			519f5c10070b	
809360b2a468	total-subregion	North America		North America		(total)			2020-03-03	43	38	7			250	20		230	0.05008840954904273	0.004007072763923418		0.04608133678511931		8		92	42	8		34	20.192307692307693	66.66666666666667		17.346938775510203	23948944	499117465			519f5c10070b	
61b36ec5619a	total-subregion	North America		North America		(total)			2020-03-04	44	39	8			322	24		298	0.06451387149916703	0.004808487316708102		0.05970538418245892		7.453416149068323		92.54658385093167	72	4		68	28.8	20		29.565217391304348	23948944	499117465			519f5c10070b	
ee0f8c97df22	total-subregion	North America		North America		(total)			2020-03-05	45	40	9			456	24		432	0.09136125901745393	0.004808487316708102		0.08655277170074584		5.263157894736842		94.73684210526315	134			134	41.61490683229814			44.966442953020135	23948944	499117465			519f5c10070b	
bdb9e5af666c	total-subregion	North America		North America		(total)			2020-03-06	46	41	10			622	30		592	0.1246199629580183	0.006010609145885127		0.11860935381213318		4.823151125401929		95.17684887459808	166	6		160	36.40350877192982	25		37.03703703703704	23948944	499117465			519f5c10070b	
c3ca67119a53	total-subregion	North America		North America		(total)			2020-03-07	47	42	11			856	38		818	0.1715027142959223	0.0076134382514544945		0.1638892760444678		4.439252336448598		95.56074766355141	234	8		226	37.62057877813505	26.666666666666668		38.17567567567568	23948944	499117465			519f5c10070b	
10e8a458c41a	total-subregion	North America		North America		(total)			2020-03-08	48	43	12	1		1094	44		1050	0.21918688018661095	0.008815560080631519		0.21037132010597945		4.021937842778794		95.97806215722122	238	6		232	27.80373831775701	15.789473684210526		28.361858190709047	23948944	499117465			519f5c10070b	
57174dfa8edf	total-subregion	North America		North America		(total)			2020-03-09	49	44	13	2		1496	52		1444	0.29972904274147166	0.010418389186200888		0.2893106535552708		3.4759358288770055		96.52406417112299	402	8		394	36.74588665447897	18.181818181818183		37.523809523809526	23948944	499117465			519f5c10070b	
8334e23a1158	total-subregion	North America		North America		(total)			2020-03-10	50	45	14	3		2036	62		1974	0.40792000736740397	0.012421925568162595		0.3954980817992414		3.045186640471513		96.95481335952849	540	10		530	36.096256684491976	19.23076923076923		36.70360110803324	23948944	499117465			519f5c10070b	
60648d7254df	total-subregion	North America		North America		(total)			2020-03-11	51	46	15	4		2526	74		2452	0.5060932900835277	0.014826169226516648		0.491267120857011		2.929532858273951		97.07046714172604	490	12		478	24.06679764243615	19.35483870967742		24.214792299898683	23948944	499117465			519f5c10070b	
3ba73e943faa	total-subregion	North America		North America		(total)			2020-03-12	52	47	16	5		3336	86		3250	0.6683797370224261	0.017230412884870698		0.6511493241375554		2.577937649880096		97.42206235011992	810	12		798	32.066508313539195	16.216216216216218		32.54486133768352	23948944	499117465			519f5c10070b	
91cc8c476a02	total-subregion	North America		North America		(total)			2020-03-13	53	48	17	6		4448	100		4348	0.8911729826965682	0.02003536381961709		0.8711376188769511		2.2482014388489207		97.75179856115108	1112	14		1098	33.333333333333336	16.27906976744186		33.784615384615385	23948944	499117465			519f5c10070b	
c4872eeddae8	total-subregion	North America		North America		(total)			2020-03-14	54	49	18	7		5796	120		5676	1.1612496869850064	0.024042436583540508		1.137207250401466		2.070393374741201		97.9296066252588	1348	20		1328	30.305755395683452	20		30.542778288868444	23948944	499117465			519f5c10070b	
094d51c1bd16	total-subregion	North America		North America		(total)			2020-03-15	55	50	19	8		7200	136		7064	1.4425461950124305	0.027248094794679243		1.4152981002177512		1.8888888888888888		98.11111111111111	1404	16		1388	24.22360248447205	13.333333333333334		24.4538407329105	23948944	499117465			519f5c10070b	
7b3d8cc6cd51	total-subregion	North America		North America		(total)			2020-03-16	56	51	20	9		9014	182		8832	1.8059876947002846	0.0364643621517031		1.7695233325485813		2.019081428888396		97.9809185711116	1814	46		1768	25.194444444444443	33.8235294117647		25.028312570781427	23948944	499117465			519f5c10070b	
8eeee476270b	total-subregion	North America		North America		(total)			2020-03-17	57	52	21	10	1	11810	232		11578	2.3661764670967784	0.04648204406151165		2.319694423035267		1.9644369178662149		98.03556308213378	2796	50		2746	31.018415797648103	27.47252747252747		31.091485507246375	23948944	499117465			519f5c10070b	
b5024c67f532	total-subregion	North America		North America		(total)			2020-03-18	58	53	22	11	2	16690	314		16376	3.3439022214940923	0.06291104239359765		3.2809911791004946		1.8813660874775313		98.11863391252247	4880	82		4798	41.32091447925487	35.3448275862069		41.440663326999484	23948944	499117465			519f5c10070b	
53b28104955d	total-subregion	North America		North America		(total)			2020-03-19	59	54	23	12	3	24826	406		24420	4.973979421858139	0.08134357710764539		4.892635844750493		1.6353822605333117		98.36461773946668	8136	92		8044	48.747753145596164	29.29936305732484		49.12066438690767	23948944	499117465			519f5c10070b	
56e678a5f8f4	total-subregion	North America		North America		(total)			2020-03-20	60	55	24	13	4	35992	530		35462	7.211128145956583	0.10618742824397057		7.104940717712613		1.472549455434541		98.52745054456545	11166	124		11042	44.977040199790544	30.541871921182267		45.21703521703522	23948944	499117465			519f5c10070b	
9a9aaf26826e	total-subregion	North America		North America		(total)			2020-03-21	61	56	25	14	5	49064	686		48378	9.830150904456929	0.13744259580257323		9.692708308654357		1.398173813794228		98.60182618620577	13072	156		12916	36.319182040453434	29.433962264150942		36.4220856127686	23948944	499117465			519f5c10070b	
8f431f839bbd	total-subregion	North America		North America		(total)			2020-03-22	62	57	26	15	6	66122	872		65250	13.247783264807211	0.17470837250706103		13.073074892300152		1.318774386739663		98.68122561326034	17058	186		16872	34.76683515408446	27.113702623906704		34.8753565670346	23948944	499117465			519f5c10070b	
87207beea621	total-subregion	North America		North America		(total)			2020-03-23	63	58	27	16	7	86998	1092		85906	17.430365815790477	0.21878617291021862		17.211579642880256		1.2552012689946896		98.74479873100532	20876	220		20656	31.571942772450925	25.229357798165136		31.65670498084291	23948944	499117465			519f5c10070b	
e10f203a9cf3	total-subregion	North America		North America		(total)			2020-03-24	64	59	28	17	8	108106	1477		106629	21.659430410835252	0.29592232361574444		21.363508087219508		1.3662516419070172		98.63374835809299	21108	385		20723	24.262626727051195	35.256410256410255		24.122878495099293	23948944	499117465			519f5c10070b	
386f43840a78	total-subregion	North America		North America		(total)			2020-03-25	65	60	29	18	9	137291	1990		135301	27.5067513415905	0.3987037400103801		27.10804760158012		1.4494759306873721		98.55052406931263	29185	513		28672	26.996651434702976	34.732566012186865		26.889495353046545	23948944	499117465			519f5c10070b	
fc852a7e9c48	total-subregion	North America		North America		(total)			2020-03-26	66	61	30	19	10	171184	2597		168587	34.297337200973324	0.5203183983954559		33.777018802577864		1.5170810356108047		98.4829189643892	33893	607		33286	24.686978753159348	30.502512562814072		24.60144418740438	23948944	499117465			519f5c10070b	
c4319d7b700a	total-country	United States	US	United States		(total)	38	-97	2020-01-21	1					2			2	0.000601252224400245			0.000601252224400245				100									9833517	332639102	8.3	38.5	58f7fea35d6d	
bf1566e44c95	total-country	United States	US	United States		(total)	38	-97	2020-01-24	4					4			4	0.00120250444880049			0.00120250444880049				100	2			2	100			100	9833517	332639102	8.3	38.5	58f7fea35d6d	
6ed38474ec9d	total-country	United States	US	United States		(total)	38	-97	2020-01-25	5					6			6	0.0018037566732007353			0.0018037566732007353				100	2			2	50			50	9833517	332639102	8.3	38.5	58f7fea35d6d	
3918a862fd29	total-country	United States	US	United States		(total)	38	-97	2020-01-26	6	1				10			10	0.003006261122001225			0.003006261122001225				100	4			4	66.66666666666667			66.66666666666667	9833517	332639102	8.3	38.5	58f7fea35d6d	
98cbce4f0f62	total-country	United States	US	United States		(total)	38	-97	2020-01-30	10	5				12			12	0.0036075133464014706			0.0036075133464014706				100	2			2	20			20	9833517	332639102	8.3	38.5	58f7fea35d6d	
b263a156dd4a	total-country	United States	US	United States		(total)	38	-97	2020-01-31	11	6				14			14	0.0042087655708017155			0.0042087655708017155				100	2			2	16.666666666666668			16.666666666666668	9833517	332639102	8.3	38.5	58f7fea35d6d	
3714770f88c3	total-country	United States	US	United States		(total)	38	-97	2020-02-01	12	7				16			16	0.00481001779520196			0.00481001779520196				100	2			2	14.285714285714286			14.285714285714286	9833517	332639102	8.3	38.5	58f7fea35d6d	
73ec619470a4	total-country	United States	US	United States		(total)	38	-97	2020-02-02	13	8				22			22	0.0066137744684026945			0.0066137744684026945				100	6			6	37.5			37.5	9833517	332639102	8.3	38.5	58f7fea35d6d	
1f49c4724096	total-country	United States	US	United States		(total)	38	-97	2020-02-05	16	11				24			24	0.007215026692802941			0.007215026692802941				100	2			2	9.090909090909092			9.090909090909092	9833517	332639102	8.3	38.5	58f7fea35d6d	
442ca08de61f	total-country	United States	US	United States		(total)	38	-97	2020-02-10	21	16				26			26	0.007816278917203186			0.007816278917203186				100	2			2	8.333333333333334			8.333333333333334	9833517	332639102	8.3	38.5	58f7fea35d6d	
32125068c6ac	total-country	United States	US	United States		(total)	38	-97	2020-02-12	23	18				28			28	0.008417531141603431			0.008417531141603431				100	2			2	7.6923076923076925			7.6923076923076925	9833517	332639102	8.3	38.5	58f7fea35d6d	
0fd745384bff	total-country	United States	US	United States		(total)	38	-97	2020-02-13	24	19				30			30	0.009018783366003674			0.009018783366003674				100	2			2	7.142857142857143			7.142857142857143	9833517	332639102	8.3	38.5	58f7fea35d6d	
87216c25d08f	total-country	United States	US	United States		(total)	38	-97	2020-02-17	28	23				50			50	0.015031305610006127			0.015031305610006127				100	20			20	66.66666666666667			66.66666666666667	9833517	332639102	8.3	38.5	58f7fea35d6d	
0309bc3b0d34	total-country	United States	US	United States		(total)	38	-97	2020-02-20	31	26				54			54	0.016233810058806617			0.016233810058806617				100	4			4	8			8	9833517	332639102	8.3	38.5	58f7fea35d6d	
6eab1c6d005c	total-country	United States	US	United States		(total)	38	-97	2020-02-21	32	27				60			60	0.01803756673200735			0.01803756673200735				100	6			6	11.11111111111111			11.11111111111111	9833517	332639102	8.3	38.5	58f7fea35d6d	
27354a36d14e	total-country	United States	US	United States		(total)	38	-97	2020-02-24	35	30				86			86	0.025853845649210533			0.025853845649210533				100	26			26	43.333333333333336			43.333333333333336	9833517	332639102	8.3	38.5	58f7fea35d6d	
1776836edb51	total-country	United States	US	United States		(total)	38	-97	2020-02-25	36	31				90			90	0.027056350098011023			0.027056350098011023				100	4			4	4.651162790697675			4.651162790697675	9833517	332639102	8.3	38.5	58f7fea35d6d	
fa3425ead975	total-country	United States	US	United States		(total)	38	-97	2020-02-26	37	32	1			120			120	0.0360751334640147			0.0360751334640147				100	30			30	33.333333333333336			33.333333333333336	9833517	332639102	8.3	38.5	58f7fea35d6d	
d25c11d427a1	total-country	United States	US	United States		(total)	38	-97	2020-02-28	39	34	3			130			130	0.03908139458601592			0.03908139458601592				100	10			10	8.333333333333334			8.333333333333334	9833517	332639102	8.3	38.5	58f7fea35d6d	
3f80abd80f6c	total-country	United States	US	United States		(total)	38	-97	2020-02-29	40	35	4			140	2		138	0.04208765570801715	0.000601252224400245		0.04148640348361691		1.4285714285714286		98.57142857142858	10	2		8	7.6923076923076925			6.153846153846154	9833517	332639102	8.3	38.5	58f7fea35d6d	
10a5e4eb8424	total-country	United States	US	United States		(total)	38	-97	2020-03-01	41	36	5			176	6		170	0.052910195747221556	0.0018037566732007353		0.05110643907402083		3.4090909090909087		96.5909090909091	36	4		32	25.714285714285715	200		23.18840579710145	9833517	332639102	8.3	38.5	58f7fea35d6d	
247265e97304	total-country	United States	US	United States		(total)	38	-97	2020-03-02	42	37	6			208	12		196	0.06253023133762549	0.0036075133464014706		0.05892271799122402		5.769230769230769		94.23076923076923	32	6		26	18.181818181818183	100		15.294117647058824	9833517	332639102	8.3	38.5	58f7fea35d6d	
